support,itemsets
0.1428524148148148,frozenset({'云闪付'})
0.14283874074074074,frozenset({'信用卡'})
0.14287965185185186,frozenset({'储蓄卡'})
0.13674442222222222,frozenset({'办公'})
0.2511726962962963,frozenset({'家居'})
0.14284537777777778,frozenset({'微信支付'})
0.14283544444444443,frozenset({'支付宝'})
0.4872285037037037,frozenset({'服装'})
0.13483200740740742,frozenset({'母婴'})
0.13113759259259258,frozenset({'汽车用品'})
0.20028917037037036,frozenset({'玩具'})
0.14286941481481483,frozenset({'现金'})
0.48423505925925925,frozenset({'电子产品'})
0.13299197037037036,frozenset({'运动户外'})
0.14287895555555555,frozenset({'银联'})
0.48462228148148145,frozenset({'食品'})
0.019521044444444444,"frozenset({'办公', '云闪付'})"
0.035888333333333335,"frozenset({'家居', '云闪付'})"
0.06960807407407407,"frozenset({'服装', '云闪付'})"
0.01927242222222222,"frozenset({'母婴', '云闪付'})"
0.01872705925925926,"frozenset({'汽车用品', '云闪付'})"
0.028613214814814814,"frozenset({'玩具', '云闪付'})"
0.06916815555555555,"frozenset({'电子产品', '云闪付'})"
0.019004622222222222,"frozenset({'运动户外', '云闪付'})"
0.06922482222222222,"frozenset({'食品', '云闪付'})"
0.019536296296296295,"frozenset({'信用卡', '办公'})"
0.035878622222222226,"frozenset({'信用卡', '家居'})"
0.0696026962962963,"frozenset({'信用卡', '服装'})"
0.01926382962962963,"frozenset({'信用卡', '母婴'})"
0.018721659259259258,"frozenset({'信用卡', '汽车用品'})"
0.028602266666666668,"frozenset({'信用卡', '玩具'})"
0.06918877037037037,"frozenset({'信用卡', '电子产品'})"
0.018993985185185185,"frozenset({'信用卡', '运动户外'})"
0.06925212592592593,"frozenset({'信用卡', '食品'})"
0.019560096296296296,"frozenset({'办公', '储蓄卡'})"
0.03589045925925926,"frozenset({'家居', '储蓄卡'})"
0.06963912592592593,"frozenset({'服装', '储蓄卡'})"
0.019246903703703702,"frozenset({'母婴', '储蓄卡'})"
0.01873974074074074,"frozenset({'汽车用品', '储蓄卡'})"
0.02861928888888889,"frozenset({'玩具', '储蓄卡'})"
0.06917032592592592,"frozenset({'电子产品', '储蓄卡'})"
0.018982807407407407,"frozenset({'运动户外', '储蓄卡'})"
0.06923994814814814,"frozenset({'食品', '储蓄卡'})"
0.031362822222222225,"frozenset({'办公', '家居'})"
0.01950622962962963,"frozenset({'微信支付', '办公'})"
0.01952494074074074,"frozenset({'办公', '支付宝'})"
0.06185985185185185,"frozenset({'办公', '服装'})"
0.016712466666666665,"frozenset({'办公', '母婴'})"
0.016253096296296295,"frozenset({'汽车用品', '办公'})"
0.024926607407407406,"frozenset({'办公', '玩具'})"
0.019550318518518517,"frozenset({'办公', '现金'})"
0.06146054814814815,"frozenset({'电子产品', '办公'})"
0.016448303703703704,"frozenset({'办公', '运动户外'})"
0.019545496296296296,"frozenset({'办公', '银联'})"
0.061518525925925924,"frozenset({'办公', '食品'})"
0.03587537777777778,"frozenset({'微信支付', '家居'})"
0.0358636,"frozenset({'支付宝', '家居'})"
0.11419311851851852,"frozenset({'服装', '家居'})"
0.03089380740740741,"frozenset({'母婴', '家居'})"
0.030053007407407406,"frozenset({'汽车用品', '家居'})"
0.04611986666666667,"frozenset({'家居', '玩具'})"
0.03589236296296296,"frozenset({'现金', '家居'})"
0.1134786,"frozenset({'电子产品', '家居'})"
0.030470533333333334,"frozenset({'运动户外', '家居'})"
0.03588394074074074,"frozenset({'银联', '家居'})"
0.11361722962962963,"frozenset({'食品', '家居'})"
0.06959105185185185,"frozenset({'微信支付', '服装'})"
0.019261459259259258,"frozenset({'微信支付', '母婴'})"
0.01873679259259259,"frozenset({'汽车用品', '微信支付'})"
0.028629451851851853,"frozenset({'微信支付', '玩具'})"
0.06918528148148148,"frozenset({'电子产品', '微信支付'})"
0.019013466666666666,"frozenset({'微信支付', '运动户外'})"
0.06922282962962963,"frozenset({'微信支付', '食品'})"
0.06957185185185186,"frozenset({'服装', '支付宝'})"
0.019257244444444443,"frozenset({'母婴', '支付宝'})"
0.018730740740740742,"frozenset({'汽车用品', '支付宝'})"
0.02862662222222222,"frozenset({'支付宝', '玩具'})"
0.06917021481481482,"frozenset({'电子产品', '支付宝'})"
0.019003244444444446,"frozenset({'支付宝', '运动户外'})"
0.06923091111111111,"frozenset({'食品', '支付宝'})"
0.06097977777777778,"frozenset({'服装', '母婴'})"
0.059298222222222224,"frozenset({'汽车用品', '服装'})"
0.09088912592592592,"frozenset({'服装', '玩具'})"
0.06961576296296296,"frozenset({'服装', '现金'})"
0.2224372888888889,"frozenset({'电子产品', '服装'})"
0.06017177037037037,"frozenset({'服装', '运动户外'})"
0.06959994074074075,"frozenset({'服装', '银联'})"
0.22260401481481482,"frozenset({'服装', '食品'})"
0.016018192592592594,"frozenset({'汽车用品', '母婴'})"
0.024562614814814816,"frozenset({'母婴', '玩具'})"
0.019261674074074073,"frozenset({'母婴', '现金'})"
0.060620822222222225,"frozenset({'电子产品', '母婴'})"
0.01623965925925926,"frozenset({'母婴', '运动户外'})"
0.019268474074074074,"frozenset({'母婴', '银联'})"
0.06061509629629629,"frozenset({'母婴', '食品'})"
0.02387171111111111,"frozenset({'汽车用品', '玩具'})"
0.018725585185185186,"frozenset({'汽车用品', '现金'})"
