support,itemsets
0.13674442222222222,frozenset({'办公'})
0.2511726962962963,frozenset({'家居'})
0.4872285037037037,frozenset({'服装'})
0.13483200740740742,frozenset({'母婴'})
0.13113759259259258,frozenset({'汽车用品'})
0.20028917037037036,frozenset({'玩具'})
0.48423505925925925,frozenset({'电子产品'})
0.13299197037037036,frozenset({'运动户外'})
0.48462228148148145,frozenset({'食品'})
0.031362822222222225,"frozenset({'办公', '家居'})"
0.06185985185185185,"frozenset({'办公', '服装'})"
0.024926607407407406,"frozenset({'办公', '玩具'})"
0.06146054814814815,"frozenset({'电子产品', '办公'})"
0.061518525925925924,"frozenset({'办公', '食品'})"
0.11419311851851852,"frozenset({'服装', '家居'})"
0.03089380740740741,"frozenset({'母婴', '家居'})"
0.030053007407407406,"frozenset({'汽车用品', '家居'})"
0.04611986666666667,"frozenset({'玩具', '家居'})"
0.1134786,"frozenset({'电子产品', '家居'})"
0.030470533333333334,"frozenset({'运动户外', '家居'})"
0.11361722962962963,"frozenset({'食品', '家居'})"
0.06097977777777778,"frozenset({'母婴', '服装'})"
0.059298222222222224,"frozenset({'汽车用品', '服装'})"
0.09088912592592592,"frozenset({'服装', '玩具'})"
0.2224372888888889,"frozenset({'电子产品', '服装'})"
0.06017177037037037,"frozenset({'服装', '运动户外'})"
0.22260401481481482,"frozenset({'服装', '食品'})"
0.024562614814814816,"frozenset({'母婴', '玩具'})"
0.060620822222222225,"frozenset({'电子产品', '母婴'})"
0.06061509629629629,"frozenset({'母婴', '食品'})"
0.02387171111111111,"frozenset({'汽车用品', '玩具'})"
0.05891933333333333,"frozenset({'汽车用品', '电子产品'})"
0.058970777777777775,"frozenset({'汽车用品', '食品'})"
0.0903066,"frozenset({'电子产品', '玩具'})"
0.024227651851851852,"frozenset({'运动户外', '玩具'})"
0.09033748148148148,"frozenset({'食品', '玩具'})"
0.05975159259259259,"frozenset({'电子产品', '运动户外'})"
0.2212706222222222,"frozenset({'电子产品', '食品'})"
0.059815503703703705,"frozenset({'食品', '运动户外'})"
0.026515577777777778,"frozenset({'电子产品', '办公', '服装'})"
0.026540992592592592,"frozenset({'办公', '服装', '食品'})"
0.026360362962962965,"frozenset({'电子产品', '办公', '食品'})"
0.04949925925925926,"frozenset({'电子产品', '服装', '家居'})"
0.049568362962962964,"frozenset({'服装', '食品', '家居'})"
0.04923488888888889,"frozenset({'电子产品', '食品', '家居'})"
0.026152318518518517,"frozenset({'母婴', '电子产品', '服装'})"
0.02613448888888889,"frozenset({'母婴', '服装', '食品'})"
0.025399496296296297,"frozenset({'汽车用品', '电子产品', '服装'})"
0.025439237037037037,"frozenset({'汽车用品', '服装', '食品'})"
0.03920419259259259,"frozenset({'电子产品', '服装', '玩具'})"
0.03919068888888889,"frozenset({'服装', '食品', '玩具'})"
0.02576757037037037,"frozenset({'电子产品', '服装', '运动户外'})"
0.09896354074074074,"frozenset({'电子产品', '服装', '食品'})"
0.02580462962962963,"frozenset({'服装', '食品', '运动户外'})"
0.025974948148148148,"frozenset({'电子产品', '母婴', '食品'})"
0.025251503703703704,"frozenset({'汽车用品', '电子产品', '食品'})"
0.038965962962962966,"frozenset({'电子产品', '食品', '玩具'})"
0.02562014074074074,"frozenset({'电子产品', '食品', '运动户外'})"
